,bitcoin_price,ethereum_price,dogecoin_price,date,bitcoin_volume,ethereum_volume,dogecoin_volume
441,53342.72525016277,3546.795671008484,0.27686278186523494,2021-08-03,38103667364.47161,36212479878.35259,1374746698.7574568
442,51862.27390786788,3407.9834698967375,0.2655799465254235,2021-08-04,38419065064.874596,35555473251.547966,1401298711.2138085
443,53861.767284291134,3691.6294830550237,0.27322707617943526,2021-08-05,37601529591.75862,39777053493.68893,1304193711.5886564
444,55140.026435611435,3811.0075461634005,0.2709451854091132,2021-08-06,52037017846.57665,51283928662.20162,1499124217.2520633
445,58186.72335014465,3927.043759279353,0.2788860000177856,2021-08-07,55520151959.377144,41974519998.07435,1650289350.6824877
446,60709.49899810312,4284.864867411291,0.34923332907761073,2021-08-08,58095652274.97943,52854423246.46394,6874820417.986129
447,59636.68602401563,4106.761591184178,0.3255955593610042,2021-08-09,54021027983.59614,46638421055.908295,7730452493.840059
448,63198.308740892986,4316.476181711703,0.3487632325571353,2021-08-10,58307037550.17669,52553489834.96002,5248153243.086681
449,62132.12828137743,4285.369575121094,0.35048224598020195,2021-08-11,48559773513.551125,41463065899.36152,4048771060.3964357
450,61926.28912669439,4295.506284818003,0.3606708640330214,2021-08-12,48399122277.041016,38714902375.026535,5656982479.765637
451,60603.677109111195,4152.020379599309,0.36137826531474493,2021-08-13,48813161177.31806,38289178853.079796,6185423456.802226
452,64750.2365461382,4509.433452452526,0.38876446442400786,2021-08-14,46571903737.37082,35266855821.74062,4152936203.7739153
453,63897.50179399851,4435.276060111943,0.3968477887019609,2021-08-15,45179648933.57032,29478128217.40472,5103777632.533779
454,63857.97933635762,4494.508158634942,0.45918595095980824,2021-08-16,44627728640.251945,33150868429.54285,8852216065.25474
455,62712.699810527425,4296.268963656948,0.4368271910996861,2021-08-17,46622797060.952484,35315957512.972176,7530446374.035595
456,61371.81887322904,4144.070005244046,0.41046188244200266,2021-08-18,47527211354.080986,39003671030.3889,6365468244.227585
457,62219.02601383295,4199.632938473832,0.42169733819569666,2021-08-19,47918450883.88836,32068575378.898483,6955429445.388278
458,65424.35045830869,4401.487884124559,0.43934740275523215,2021-08-20,53793354089.84464,28818386426.541683,4638544831.013053
459,68950.0900874587,4592.81085878877,0.4585286754875344,2021-08-21,51152203443.22281,30944717695.80078,4209735458.021824
460,68632.48398975283,4521.857309391465,0.44440254317540245,2021-08-22,59114755734.90803,27124387928.228218,3112507252.9397354
461,68997.55083523148,4543.313516463996,0.44001278107301667,2021-08-23,37980011859.0606,23845565216.728867,2688073863.4601984
462,68689.89283666002,4604.484444737134,0.441049447824511,2021-08-24,49660467460.28532,30673766354.472244,3457336211.060472
463,66126.3501808141,4382.983450881027,0.399312486188733,2021-08-25,52948887817.69989,32457584403.781094,3807572077.240116
464,67348.43400770126,4441.234965309936,0.40279474786033104,2021-08-26,46065611086.72634,28090273043.608288,2962315301.8745394
465,65242.23819712036,4314.073240704371,0.3771669525313809,2021-08-27,46656587463.84511,25908845315.428257,2872118902.475372
466,67112.6033107913,4467.791625160342,0.4016120641284508,2021-08-28,47320238778.45576,25255535942.06471,2720356334.290969
467,66912.19973755733,4437.561124256392,0.3909507288054239,2021-08-29,38957558960.238686,19084157397.730534,1795750629.6361437
468,66884.01841913728,4420.694378528029,0.38533324055946017,2021-08-30,35891608214.25393,19291530425.118656,1753499996.1092777
469,64621.39556981446,4433.041481255626,0.37356494597893497,2021-08-31,44328679625.63676,29813474480.01025,2151203321.6675687
470,64665.86437915078,4700.221018301822,0.38119927186290137,2021-09-01,47635191776.243904,43991310615.27487,2131706932.6428971
471,66264.16404524741,5145.709221888814,0.39833430091752003,2021-09-02,53014258929.35823,46785926124.07461,2359470940.0683694
472,66670.26623040598,5125.792461965425,0.40024941962343197,2021-09-03,53189953429.52922,37992145904.04731,3647279221.689496
473,66969.74253227211,5278.989468840519,0.3970267223115613,2021-09-04,57581588231.76761,40855948649.71522,2792172266.464853
474,67075.0251263764,5223.699338626646,0.40255752709717335,2021-09-05,49603549638.81029,32191444013.03297,2634354732.9132147
475,69418.85500872161,5304.513874848193,0.42015459061017557,2021-09-06,42655029651.836914,26534986216.3675,2796993305.0886316
476,70896.2147308123,5300.778139237084,0.4163357314177772,2021-09-07,50453689019.242096,27141518449.577103,3018853014.565527
477,63600.9054307685,4655.986516614774,0.34555998140230926,2021-09-08,86628620094.07022,57573621663.86043,6514862562.14162
478,62585.77311166261,4748.909396179821,0.3484339798550188,2021-09-09,65391607304.73234,46412009931.60142,3749370487.307216
